Report Date,Product Price,Organic Conversion Percentage,Ad Conversion Percentage,Total Profit,Total Sales,Predicted Sales
2025-01-22,25.85,0.0,0.0,0.0,0.0,124.8513241
2025-01-21,25.85,0.0,0.0,0.0,0.0,213.3324051
2025-01-20,25.85,0.0,0.0,0.0,0.0,398.9654916
2025-01-19,25.85,0.0,0.0,0.0,0.0,339.0659591
2025-01-18,25.85,0.0,0.0,0.0,0.0,195.1905468
2025-01-17,25.85,0.0,0.0,0.0,0.0,109.3709827
2025-01-16,25.85,0.0,0.0,0.0,0.0,147.5839817
2025-01-15,25.85,0.0,0.0,0.0,0.0,123.79322
2025-01-14,25.85,0.0,0.0,0.0,0.0,211.52224
2025-01-13,25.85,0.0,0.0,0.0,0.0,397.5039203
2025-01-12,25.85,0.0,0.0,0.0,0.0,336.1819295
2025-01-11,25.85,0.0,0.0,0.0,0.0,193.5282738
2025-01-10,25.85,0.0,0.0,0.0,0.0,108.4384279
2025-01-09,25.85,0.0,0.0,0.0,0.0,146.324068
2025-01-08,25.85,0.0,0.0,0.0,0.0,122.7351159
2025-01-07,25.85,0.0,0.0,0.0,0.0,209.7120748
2025-01-06,25.85,0.0,0.0,0.0,0.0,394.0979971
2025-01-05,25.85,0.0,0.0,0.0,0.0,333.2978998
2025-01-04,25.85,0.0,0.0,0.0,0.0,191.8660008
2025-01-03,25.85,0.0,0.0,0.0,0.0,107.5058731
2025-01-02,25.85,0.0,0.0,0.0,0.0,145.0641543
2025-01-01,25.85,0.0,0.0,0.0,0.0,121.6770117
2024-12-31,25.85,0.0,0.0,0.0,0.0,207.9019096
2024-12-30,25.85,0.0,0.0,0.0,0.0,390.6920738
2024-12-29,25.85,0.0,0.0,0.0,0.0,330.4138701
2024-12-28,25.85,0.0,0.0,0.0,0.0,190.2037278
2024-12-27,25.85,0.0,0.0,0.0,0.0,106.5733183
2024-12-26,25.85,0.0,0.0,0.0,0.0,143.8042406
