Report Date,Product Price,Organic Conversion Percentage,Ad Conversion Percentage,Total Profit,Total Sales,Predicted Sales
2025-02-02,16.0,15.0,12.0,250.0,120.0,125.0
2025-02-01,14.0,12.0,10.0,200.0,100.0,105.0
2025-01-22,14.0,0.0,0.0,0.0,0.0,107.2284313
2025-01-21,14.0,0.0,0.0,0.0,0.0,101.9473577
2025-01-20,14.0,0.0,0.0,0.0,0.0,105.6924925
2025-01-19,14.0,0.0,0.0,0.0,0.0,96.01066918
2025-01-18,14.0,0.0,0.0,0.0,0.0,109.7286991
2025-01-17,14.0,0.0,0.0,0.0,0.0,90.40913079
2025-01-16,14.0,0.0,0.0,0.0,0.0,93.2795674
2025-01-15,14.0,0.0,0.0,0.0,0.0,105.7341608
2025-01-14,14.0,0.0,0.0,0.0,0.0,100.5238471
2025-01-13,14.0,0.0,0.0,0.0,0.0,104.2137382
2025-01-12,14.0,0.0,0.0,0.0,0.0,94.66468392
2025-01-11,14.0,0.0,0.0,0.0,0.0,108.1873121
2025-01-10,14.0,0.0,0.0,0.0,0.0,89.13657702
2025-01-09,14.0,0.0,0.0,0.0,0.0,91.9639654
2025-01-08,14.0,0.0,0.0,0.0,0.0,104.2398902
2025-01-07,14.0,0.0,0.0,0.0,0.0,99.10033651
2025-01-06,14.0,0.0,0.0,0.0,0.0,102.7349838
2025-01-05,14.0,0.0,0.0,0.0,0.0,93.31869867
2025-01-04,14.0,0.0,0.0,0.0,0.0,106.6459252
2025-01-03,14.0,0.0,0.0,0.0,0.0,87.86402325
2025-01-02,14.0,0.0,0.0,0.0,0.0,90.6483634
2025-01-01,14.0,0.0,0.0,0.0,0.0,102.7456197
2024-12-31,14.0,0.0,0.0,0.0,0.0,97.67682591
2024-12-30,14.0,0.0,0.0,0.0,0.0,101.2562294
2024-12-29,14.0,0.0,0.0,0.0,0.0,91.97271341
2024-12-28,14.0,0.0,0.0,0.0,0.0,105.1045382
2024-12-27,14.0,0.0,0.0,0.0,0.0,86.59146947
2024-12-26,14.0,0.0,0.0,0.0,0.0,89.3327614
2024-12-25,14.0,0.0,0.0,0.0,0.0,101.2513491
2024-12-24,14.0,0.0,0.0,0.0,0.0,96.25331532
2024-12-23,14.0,33.33,0.0,0.0,0.0,99.77747507
2024-12-22,14.0,22.22,0.0,34.48,125.91,90.62672816
2024-12-21,14.2,20.0,0.0,14.16,56.74,103.5631512
2024-12-20,14.4,14.29,0.0,15.0,57.52,85.3189157
2024-12-19,14.0,6.38,5.8824,9.66,55.96,88.0171594
2024-12-18,14.0,16.67,41.6667,48.34,153.89,99.75707854
2024-12-17,14.1,66.67,8.3333,23.77,84.72,94.82980473
2024-12-16,14.0,15.38,9.5238,31.41,125.91,98.29872071
2024-12-15,14.0,18.52,14.8148,63.1,223.84,111.8149443
2024-12-14,14.2,6.25,29.4118,26.8,99.49,126.2961839
2024-12-13,14.3,0.0,23.5294,17.39,71.51,109.441935
2024-12-12,14.0,33.33,0.0,8.82,55.96,116.0293282
2024-12-11,15.55,10.0,28.5714,-1.56,15.55,118.7961455
2024-12-10,15.55,30.0,12.5,8.65,46.65,118.2802711
2024-12-09,15.55,6.25,11.7647,21.12,77.75,127.7462864
2024-12-08,15.55,28.57,11.7647,20.81,77.75,109.2819628
2024-12-07,15.55,100.0,10.5263,-10.11,0.0,123.4258651
2024-12-06,15.55,14.71,6.6667,-10.39,0.0,106.9465591
2024-12-05,15.55,4.55,16.6667,21.98,93.3,113.3751082
2024-12-04,15.55,38.46,7.6923,-2.1,15.55,116.0697236
2024-12-03,15.55,25.0,18.1818,-6.28,0.0,115.5567594
2024-12-02,15.55,25.34,5.2632,-11.46,0.0,124.7951032
2024-12-01,15.55,25.42,0.0,-8.51,0.0,106.7489813
2024-11-30,15.55,3.45,0.0,6.19,15.55,120.5555463
2024-11-29,15.55,26.67,0.0,0.0,0.0,104.4511831
2024-11-28,15.55,9.09,10.0,-8.22,0.0,110.7208881
2024-11-27,15.55,25.0,4.5455,-5.55,15.55,113.3433017
2024-11-26,15.55,13.33,15.3846,-3.08,15.55,112.8332476
2024-11-25,15.55,15.38,0.0,-0.45,0.0,121.8439201
2024-11-24,15.75,50.0,0.0,-35.94,-15.75,104.2159997
2024-11-23,15.75,0.0,0.0,0.0,0.0,117.6852275
2024-11-22,15.75,37.5,7.6923,-9.52,0.0,101.9558071
